Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
405,Agapornis,fischeri,Male,Low,0,Medium,Yes,Yes,1,3,4,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
637,Agapornis,fischeri,Unknown,Low,2,High,No,,3,0,3,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
356,Agapornis,fischeri,Male,Low,10,High,No,,4,0,4,Never,Frequently,,,,,,,,,,,,,,,,,,,,
688,Agapornis,fischeri,Female,Medium,1,High,No,No,3,1,0,,Frequently,,,,,,,,,,,,,,,,,,,,
137,Agapornis,fischeri,Female,Medium,,,No,,3,0,0,,Never,,,,,,,,,,,,,,,,,,,,
41,Agapornis,fischeri,Female,High,,,Yes,No,14,2,6,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
778,Agapornis,fischeri,Male,High,7,High,Yes,No,50,12,7,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
197,Agapornis,fischeri,Male,High,3,Medium,No,,2,0,0,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
228,Agapornis,fischeri,Female,High,13,High,Yes,No,2,1,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
291,Agapornis,fischeri,Female,Low,0.7,High,Yes,,1,1,5,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
627,Agapornis,fischeri,Unknown,,2,High,Yes,Yes,1,0,0,,Sometimes,,,,,,,,,,,,,,,,,,,,
385,Agapornis,fischeri,Male,Low,6,High,Yes,Yes,1,0,0,,,,,,,,,,,,,,,,,,,,,,
261,Agapornis,roseicollis,Female,High,4,Medium,No,,4,2,2,Never,Frequently,,,,,,,,,,,,,,,,,,,,
23,Amazona,aestiva,Female,High,26,Low,No,No,2,10,35,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
157,Amazona,aestiva,Female,High,19,High,No,,3,3,2,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
169,Amazona,aestiva,Male,Low,32,High,No,,9,3,5,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
280,Amazona,aestiva,Male,High,5.5,High,Yes,No,8,16,37,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
363,Amazona,aestiva,Male,High,35,Medium,Yes,Yes,3,15,35,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
734,Amazona,aestiva,Male,High,1,High,No,No,3,3,2,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
51,Amazona,aestiva,Female,High,6,Low,No,,6,51,123,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
59,Amazona,aestiva,Male,High,13,Low,No,No,3,2,5,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
209,Amazona,aestiva,Male,Low,35,High,No,No,10,8,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
308,Amazona,aestiva,Male,High,19,Medium,No,,1,0,2,Never,Frequently,,,,,,,,,,,,,,,,,,,,
562,Amazona,aestiva,Unknown,,18,High,No,No,4,4,2,Never,Frequently,,,,,,,,,,,,,,,,,,,,
698,Amazona,aestiva,Unknown,,13,Medium,No,,2,0,3,Never,Never,,,,,,,,,,,,,,,,,,,,
171,Amazona,aestiva,Female,High,1,High,No,,2,7,15,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
230,Amazona,aestiva,Female,High,7,High,No,,15,8,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
