Make,Model,Type,LowPrice,HighPrice,CityMPG,HwyMPG,Seating,Drive,Acc030,Acc060,QtrMile,Braking,FuelCap,Length,Width,Height,Wheelbase,UTurn,Weight,Size
Acura,MDX,SUV,44.4,60.15,14,31,7,AWD,2.8,6.8,15.3,135,19.5,196,77,67,111,40,4200,Midsized
Acura,RLX,Sedan,54.9,61,15,36,5,AWD,2.7,6.5,15,128,18.5,198,74,58,112,40,3930,Midsized
Audi,A3,Sedan,33.3,43,18,40,5,AWD,3.2,8.3,16.4,124,13.2,175,70,56,104,37,3135,Small
Audi,A4,Sporty,37.4,45.7,18,40,5,AWD,2.7,6.3,14.9,135,15.3,186,73,56,111,40,3630,Small
Audi,A6,Sedan,54.9,73.9,17,39,5,AWD,2.8,6.8,15.3,129,19.3,195,74,57,115,38,4015,Midsized
Audi,A8,Wagon,83.8,83.8,20,27,5,AWD,2.4,6.1,14.5,133,21.7,209,77,59,123,43,4810,Large
Audi,Q3,SUV,34.7,36,15,33,5,AWD,3.2,7.8,16.1,126,15.9,177,73,63,106,40,3880,Small
Audi,TT,Sporty,45.5,54.5,18,35,4,AWD,2.5,6.7,14.8,113,14.5,165,72,53,99,36,3140,Small
BMW,3 Series,Sedan,40.75,56,19,44,5,AWD,2.6,6.4,14.8,129,15.6,186,72,57,112,41,3640,Small
BMW,5 series,Sedan,53.9,110,16,40,5,AWD,2.9,7.2,15.5,130,17.9,195,74,58,117,42,3950,Midsized
BMW,7 Series,Sedan,86.45,151.7,14,33,5,AWD,2.4,5.3,13.6,131,20.6,207,75,58,126,43,4710,Large
BMW,X1,SUV,35.2,37.3,17,37,5,AWD,3.5,7.9,16.3,134,16.1,175,72,63,105,39,3725,Small
BMW,Z4,Sporty,49.7,63.7,20,40,2,RWD,2.7,6.1,14.6,111,13.7,171,73,51,97,37,3290,Small
Buick,Enclave,SUV,40,56.1,12,26,7,AWD,3.1,7.4,15.8,130,21.7,204,79,70,121,41,4690,Large
Buick,Envision,SUV,31.995,43.6,14,31,5,AWD,2.9,7.9,16.1,128,17.3,184,72,67,108,38,4050,Small
Buick,Regal,Sedan,25.37,39.07,15,34,5,AWD,2.9,7,15.3,125,16.5,193,73,57,111,39,2680,Midsized
Buick ,Encore,SUV,23.3,30.8,16,32,5,AWD,3.8,11,18.3,127,14,168,70,65,101,38,3355,Small
Cadillac,Escalade,SUV,75.195,98.295,10,23,8,AWD,2.2,6.1,14.5,142,26,204,81,74,116,41,5820,Large
Cadillac,XT4,SUV,35.695,42.295,16,31,5,AWD,3,7.6,15.9,128,16.3,181,77,63,109,39,3939,Small
Cadillac,XT5,SUV,44.095,55.095,13,30,5,AWD,2.7,7.1,15.6,132,22,190,76,66,113,42,3500,Midsized
Cadillac,XT6,Sporty,52.695,57.095,12,26,7,AWD,3,7.1,15.6,134,21.7,199,77,69,113,41,4585,Midsized
Chevrolet,Camaro,Sporty,25,68,13,28,4,RWD,2,4.4,12.7,112,17.9,188,75,53,111,40,3730,Midsized
Chevrolet,Corvette,Sporty,55.9,125.4,14,28,2,RWD,2,4.3,12.6,107,18,177,74,49,107,38,3470,Small
Chevrolet,Impala,Sedan,31.62,36.72,14,34,5,FWD,2.9,6.9,15.5,130,18.5,201,73,59,112,40,3855,Large
Chevrolet,Malibu,Sedan,22.095,33.32,19,41,5,FWD,3.1,8.4,16.6,130,13,194,73,58,112,38,3125,Midsized
Chevrolet,Spark,Hatchback,13.22,17.72,23,44,4,FWD,4.5,12,19,128,9,143,63,58,94,35,2280,Small
Chevrolet,Suburban,SUV,49.7,68.5,10,23,9,AWD,2.9,7.9,16.2,139,26,224,81,74,130,45,5945,Large
Chevrolet,Tahoe,SUV,46.8,65.7,10,23,9,AWD,2.8,7.7,15.9,136,26,204,81,74,116,41,5635,Large
Chevrolet,Traverse,SUV,29.6,53.2,14,28,8,AWD,3,7.3,15.7,130,21.7,204,79,71,121,40,4695,Large
