Date,Den_MaxTemp,Den_MinTemp,Den_AvgTemp,Den_AvgTempDepart,Den_HDD,Den_CDD,Den_Precip,Den_Snowfall,Den_SnowDepth,Bri_MaxTemp,Bri_MinTemp,Bri_AvgTemp,Bri_AvgTempDepart,Bri_HDD,Bri_CDD,Bri_Precip,Bri_Snowfall,Bri_SnowDepth,Lake_MaxTemp,Lake_MinTemp,Lake_AvgTemp,Lake_AvgTempDepart,Lake_HDD,Lake_CDD,Lake_Precip,Lake_Snowfall,Lake_SnowDepth,Cent_MaxTemp,Cent_MinTemp,Cent_AvgTemp,Cent_AvgTempDepart,Cent_HDD,Cent_CDD,Cent_Precip,Cent_Snowfall,Cent_SnowDepth,Den-Lake_MaxTemp,Den-Cent_MaxTemp,Den-Bri_MaxTemp,Lake-Cent_MaxTemp,Den-Lake_MinTemp
6/1/2024,75,53,64,-2,1,0,0,0,0,73,48,60.5,-3.2,4,0,0,0,0,70,49,59.5,-2.4,5,0,0,0,0,80,49,64.5,2.7,0,0,0,M,M,5,-5,2,-10,4
6/2/2024,87,52,69.5,3.2,0,5,0,0,0,87,51,69,5,0,4,0,0,0,81,51,66,3.7,0,1,0,0,0,86,50,68,5.8,0,3,0,M,M,6,1,0,-5,1
6/3/2024,88,57,72.5,5.8,0,8,0,0,0,88,52,70,5.6,0,5,0,0,0,85,51,68,5.4,0,3,0,0,0,85,51,68,5.4,0,3,0,M,M,3,3,0,0,6
6/4/2024,89,57,73,5.9,0,8,0,0,0,90,59,74.5,9.8,0,10,0,0,0,86,60,73,10,0,8,0,0,0,79,54,66.5,3.6,0,2,T,M,M,3,10,-1,7,-3
6/5/2024,82,58,70,2.6,0,5,0,0,0,84,52,68,2.9,0,3,0,0,0,80,62,71,7.7,0,6,0,0,0,89,51,70,6.7,0,5,0,M,M,2,-7,-2,-9,-4
6/6/2024,93,59,76,8.3,0,11,0,0,0,93,51,72,6.6,0,7,0,0,0,90,59,74.5,10.8,0,10,0,0,0,87,55,71,7.4,0,6,0,M,M,3,6,0,3,0
6/7/2024,91,64,77.5,9.4,0,13,0.01,0,0,91,58,74.5,8.8,0,10,0,0,0,87,63,75,11,0,10,0,0,0,92,61,76.5,12.5,0,12,T,M,M,4,-1,0,-5,1
6/8/2024,93,66,79.5,11.1,0,15,0,0,0,95,56,75.5,9.4,0,11,0,0,0,92,62,77,12.6,0,12,0,0,0,86,57,71.5,7.2,0,7,T,M,M,1,7,-2,6,4
6/9/2024,90,58,74,5.3,0,9,0,0,0,88,55,71.5,5.1,0,7,0,0,0,83,54,68.5,3.8,0,4,0,0,0,82,55,68.5,3.8,0,4,0.02,M,M,7,8,2,1,4
6/10/2024,85,58,71.5,2.4,0,7,0,0,0,86,56,71,4.3,0,6,0.01,0,0,77,57,67,2,0,2,T,0,0,80,54,67,2,0,2,0.18,M,M,8,5,-1,-3,1
6/11/2024,85,58,71.5,2.1,0,7,0,0,0,87,55,71,4,0,6,0,0,0,81,58,69.5,4.2,0,5,0.17,0,0,86,56,71,5.6,0,6,0,M,M,4,-1,-2,-5,0
6/12/2024,89,60,74.5,4.8,0,10,0,0,0,90,56,73,5.7,0,8,0,0,0,87,62,74.5,8.8,0,10,0,0,0,94,58,76,10.3,0,11,0,M,M,2,-5,-1,-7,-2
6/13/2024,94,65,79.5,9.5,0,15,0.02,0,0,99,61,80,12.3,0,15,0,0,0,94,62,78,12,0,13,0,0,0,94,58,76,10,0,11,0,M,M,0,0,-5,0,3
6/14/2024,98,64,81,10.7,0,16,0,0,0,98,61,79.5,11.5,0,15,0,0,0,96,60,78,11.7,0,13,0,0,0,80,61,70.5,4.1,0,6,0.1,M,M,2,18,0,16,4
6/15/2024,86,58,72,1.4,0,7,0,0,0,82,57,69.5,1.2,0,5,0,0,0,80,55,67.5,0.9,0,3,0,0,0,87,54,70.5,3.8,0,6,T,M,M,6,-1,4,-7,3
6/16/2024,96,61,78.5,7.6,0,14,0,0,0,94,54,74,5.4,0,9,0,0,0,90,58,74,7.1,0,9,0,0,0,90,61,75.5,8.5,0,11,0,M,M,6,6,2,0,3
6/17/2024,91,59,75,3.9,0,10,0,0,0,90,54,72,3.2,0,7,0,0,0,85,58,71.5,4.3,0,7,0,0,0,96,56,76,8.7,0,11,0,M,M,6,-5,1,-11,1
6/18/2024,97,58,77.5,6.1,0,13,0,0,0,96,54,75,5.9,0,10,0,0,0,89,56,72.5,4.9,0,8,0,0,0,73,53,63,-4.6,2,0,0,M,M,8,24,1,16,2
6/19/2024,74,57,65.5,-6.2,0,1,0,0,0,74,50,62,-7.4,3,0,0,0,0,72,55,63.5,-4.4,1,0,0,0,0,73,51,62,-6,3,0,T,M,M,2,1,0,-1,2
6/20/2024,77,57,67,-5,0,2,0.02,0,0,75,55,65,-4.7,0,0,0,0,0,75,55,65,-3.2,0,0,0,0,0,87,61,74,5.7,0,9,0.07,M,M,2,-10,2,-12,2
6/21/2024,95,60,77.5,5.2,0,13,0.05,0,0,95,61,78,8,0,13,0.01,0,0,92,60,76,7.6,0,11,0.21,0,0,84,62,73,4.4,0,8,0.03,M,M,3,11,0,8,0
6/22/2024,84,59,71.5,-1,0,7,0,0,0,85,53,69,-1.2,0,4,T,0,0,81,54,67.5,-1.2,0,3,0.07,0,0,89,53,71,2.1,0,6,0,M,M,3,-5,-1,-8,5
6/23/2024,96,60,78,5.2,0,13,0,0,0,94,58,76,5.5,0,11,0,0,0,91,64,77.5,8.5,0,13,0,0,0,94,60,77,7.8,0,12,0,M,M,5,2,2,-3,-4
6/24/2024,96,64,80,7,0,15,0,0,0,98,61,79.5,8.7,0,15,0,0,0,94,72,83,13.7,0,18,0,0,0,95,62,78.5,9.1,0,14,T,M,M,2,1,-2,-1,-8
6/25/2024,96,67,81.5,8.2,0,17,0,0,0,100,60,80,9,0,15,0,0,0,94,70,82,12.4,0,17,0,0,0,96,63,79.5,9.8,0,15,T,M,M,2,0,-4,-2,-3
6/26/2024,99,65,82,8.5,0,17,0,0,0,100,60,80,8.7,0,15,0,0,0,96,67,81.5,11.7,0,17,0,0,0,92,62,77,7,0,12,0.12,M,M,3,7,-1,4,-2
6/27/2024,96,65,80.5,6.7,0,16,0.02,0,0,94,60,77,5.5,0,12,0.02,0,0,89,60,74.5,4.4,0,10,0.07,0,0,92,61,76.5,6.2,0,12,0.02,M,M,7,4,2,-3,5
6/28/2024,95,66,80.5,6.5,0,16,0,0,0,94,61,77.5,5.8,0,13,0,0,0,94,68,81,10.7,0,16,0,0,0,93,61,77,6.5,0,12,0.02,M,M,1,2,1,1,-2
6/29/2024,93,66,79.5,5.3,0,15,T,0,0,95,57,76,4,0,11,0,0,0,93,59,76,5.4,0,11,0,0,0,88,58,73,2.2,0,8,T,M,M,0,5,-2,5,7
6/30/2024,86,66,76,1.5,0,11,0.12,0,0,85,58,71.5,-0.7,0,7,0.09,0,0,82,60,71,0.2,0,6,0.15,0,0,86,64,75,4,0,10,0.02,M,M,4,0,1,-4,6
7/1/2024,92,66,79,4.3,0,14,T,0,0,90,66,78,5.6,0,13,0.02,0,0,85,65,75,3.9,0,10,0,0,0,88,65,76.5,5.3,0,12,T,M,M,7,4,2,-3,1
7/2/2024,89,65,77,2.1,0,12,0.02,0,0,89,60,74.5,1.9,0,10,0.03,0,0,86,60,73,1.7,0,8,0.02,0,0,85,58,71.5,0,0,7,0.02,M,M,3,4,0,1,5
7/3/2024,90,60,75,-0.1,0,10,0.02,0,0,88,57,72.5,-0.3,0,8,0.13,0,0,85,58,71.5,0,0,7,0.1,0,0,91,57,74,2.3,0,9,0,M,M,5,-1,2,-6,2
7/4/2024,92,58,75,-0.3,0,10,0,0,0,93,48,70.5,-2.5,0,6,0,0,0,90,50,70,-1.7,0,5,0.12,0,0,82,50,66,-5.9,0,1,0,M,M,2,10,-1,8,8
7/5/2024,85,58,71.5,-4,0,7,0,0,0,84,50,67,-6.2,0,2,0,0,0,81,58,69.5,-2.4,0,5,0,0,0,78,56,67,-5.1,0,2,0,M,M,4,7,1,3,0
7/6/2024,83,61,72,-3.7,0,7,0,0,0,81,57,69,-4.4,0,4,0,0,0,78,56,67,-5.1,0,2,0,0,0,88,60,74,1.7,0,9,0,M,M,5,-5,2,-10,5
7/7/2024,92,59,75.5,-0.4,0,11,0,0,0,91,55,73,-0.5,0,8,0,0,0,88,56,72,-0.2,0,7,0,0,0,77,52,64.5,-7.9,0,0,T,M,M,4,15,1,11,3
7/8/2024,80,58,69,-7,0,4,0,0,0,81,48,64.5,-9.2,0,0,0.07,0,0,76,51,63.5,-8.9,1,0,0,0,0,82,48,65,-7.6,0,0,0,M,M,4,-2,-1,-6,7
7/9/2024,85,58,71.5,-4.7,0,7,0,0,0,83,51,67,-6.8,0,2,0,0,0,80,57,68.5,-4,0,4,0.01,0,0,87,56,71.5,-1.2,0,7,0,M,M,5,-2,2,-7,1
