Opponent,Date,Score,Location,Win Loss,W/L,FG made,FGM/A,PCT,3FG,3FG Att,PCT,FT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,Blocks,Steals,Points,AVG,
vs Colorado Col.,11/4/2024,75-55,Away,W,W,27,27-59,0.458,7,26,0.269,14,19,0.737,17,31,48,48,16,13,15,5,9,75,75,
at Colorado,11/8/2024,88-90,Home,L,L (2 OT),32,32-74,0.432,13,36,0.361,17,17,0.647,12,23,35,41.5,28,18,17,0,12,88,81.5,
vs Colo. Christian,11/12/2024,113-56,Home,W,W,44,44-65,0.677,21,21,0.6,4,5,0.8,8,32,40,41,11,33,8,6,5,113,92,
at South Dakota St.,11/14/2024,78-69,Away,W,W,31,31-64,0.484,9,29,0.31,7,8,0.875,4,32,36,39.8,17,10,6,2,5,78,88.5,
at Washington St.,11/18/2024,69-83,Away,L,L,25,25-68,0.368,8,30,0.267,11,17,0.647,11,22,33,38.4,19,13,6,3,8,69,84.6,
at California Baptist,11/20/2024,79-68,Away,W,W,33,33-65,0.508,7,19,0.368,6,8,0.75,12,33,45,39.5,23,19,15,1,5,79,83.7,
vs Prairie View,11/23/2024,114-98,Home,W,W,44,44-70,0.629,8,21,0.381,18,20,0.9,10,32,42,39.9,13,25,13,4,3,114,88,
vs Northern N.M.,11/26/2024,92-50,Home,W,W,31,31-52,0.596,10,20,0.5,20,30,0.667,6,32,38,39.6,8,23,9,3,11,92,88.5,
at Texas Tech,11/29/2024,64-89,Away,L,L,24,24-61,0.393,6,23,0.261,10,16,0.625,10,18,28,38.3,19,9,11,2,12,64,85.8,
vs St. Thomas (MN),12/4/2024,75-87,Home,L,L,25,25-49,0.51,9,25,0.36,16,24,0.667,10,20,30,37.5,16,12,16,2,6,75,84.7,
at North Dakota St.,12/7/2024,70-82,Away,L,L,26,26-72,0.361,6,38,0.158,12,14,0.857,3,25,28,36.6,21,11,3,0,11,70,83.4,
vs Air Force,12/16/2024,81-76,Home,W,W,28,28-53,0.528,5,13,0.385,20,23,0.87,7,32,39,36.8,25,12,13,1,0,81,83.2,
at Denver,12/21/2024,82-75,Away,W,W,27,27-50,0.54,5,15,0.333,23,29,0.793,5,20,25,35.9,20,16,6,1,5,82,83.1,
vs Weber St.,1/2/2025,89-72,Home,W,W,30,30-51,0.588,12,24,0.5,17,21,0.81,6,24,30,35.5,16,23,14,3,9,89,83.5,
