YEAR,MONTANA,WYOMING,COLORADO,NEW_MEXICO,State,Tornadoes
1951,0,0,8,2,Montana,0
1952,2,1,3,0,Montana,2
1953,5,7,14,0,Montana,5
1954,4,2,9,8,Montana,4
1955,3,4,19,1,Montana,3
1956,0,2,10,4,Montana,0
1957,1,3,26,17,Montana,1
1958,4,13,18,7,Montana,4
1959,3,4,1,16,Montana,3
1960,3,7,14,6,Montana,3
1961,2,4,13,11,Montana,2
1962,10,18,25,12,Montana,10
1963,3,2,3,8,Montana,3
1964,6,7,2,11,Montana,6
1965,9,8,32,14,Montana,9
1966,2,4,11,16,Montana,2
1967,0,8,21,8,Montana,0
1968,1,9,6,2,Montana,1
1969,2,6,10,10,Montana,2
1970,1,0,5,11,Montana,1
1971,8,7,16,12,Montana,8
1972,4,4,11,18,Montana,4
1973,2,6,11,2,Montana,2
1974,0,10,12,6,Montana,0
1975,10,9,20,3,Montana,10
1976,2,24,42,2,Montana,2
1977,6,13,32,8,Montana,6
1978,13,21,18,3,Montana,13
1979,5,42,37,13,Montana,5
1980,7,15,26,3,Montana,7
1981,3,4,26,8,Montana,3
1982,3,16,58,7,Montana,3
1983,4,4,32,3,Montana,4
1984,5,19,41,1,Montana,5
1985,2,7,26,5,Montana,2
1986,4,10,21,2,Montana,4
1987,1,13,40,15,Montana,1
1988,20,13,48,10,Montana,20
1989,6,10,22,17,Montana,6
1990,6,29,57,16,Montana,6
1991,30,23,76,31,Montana,30
1992,9,10,82,24,Montana,9
1993,5,6,6,2,Montana,5
1994,6,7,35,13,Montana,6
1995,15,8,45,12,Montana,15
1996,8,6,98,16,Montana,8
1997,9,26,47,11,Montana,9
1998,11,16,38,7,Montana,11
1999,22,21,41,8,Montana,22
2000,10,5,60,5,Montana,10
2001,11,17,46,5,Montana,11
2002,12,9,25,3,Montana,12
2003,6,4,30,7,Montana,6
2004,7,6,84,11,Montana,7
2005,11,7,34,7,Montana,11
2006,1,1,21,5,Montana,1
2007,5,5,57,25,Montana,5
2008,2,19,40,11,Montana,2
2009,4,11,46,4,Montana,4
2010,10,20,71,12,Montana,10
2011,9,7,21,2,Montana,9
2012,2,4,34,6,Montana,2
2013,6,8,27,2,Montana,6
2014,8,13,50,14,Montana,8
2015,3,8,57,6,Montana,3
2016,6,2,39,9,Montana,6
2017,1,11,19,13,Montana,1
2018,10,24,45,11,Montana,10
2019,4,20,49,19,Montana,4
2020,3,4,35,6,Wyoming,0
2021,1,1,48,16,Wyoming,1
2022,3,2,31,2,Wyoming,7
2023,6,21,88,13,Wyoming,2
2024,4,5,31,11,Wyoming,4
,,,,,Wyoming,2
,,,,,Wyoming,3
,,,,,Wyoming,13
,,,,,Wyoming,4
,,,,,Wyoming,7
,,,,,Wyoming,4
,,,,,Wyoming,18
,,,,,Wyoming,2
,,,,,Wyoming,7
,,,,,Wyoming,8
,,,,,Wyoming,4
,,,,,Wyoming,8
,,,,,Wyoming,9
,,,,,Wyoming,6
,,,,,Wyoming,0
,,,,,Wyoming,7
,,,,,Wyoming,4
,,,,,Wyoming,6
,,,,,Wyoming,10
,,,,,Wyoming,9
,,,,,Wyoming,24
,,,,,Wyoming,13
,,,,,Wyoming,21
,,,,,Wyoming,42
,,,,,Wyoming,15
,,,,,Wyoming,4
,,,,,Wyoming,16
,,,,,Wyoming,4
,,,,,Wyoming,19
,,,,,Wyoming,7
,,,,,Wyoming,10
,,,,,Wyoming,13
,,,,,Wyoming,13
,,,,,Wyoming,10
,,,,,Wyoming,29
,,,,,Wyoming,23
,,,,,Wyoming,10
,,,,,Wyoming,6
,,,,,Wyoming,7
,,,,,Wyoming,8
,,,,,Wyoming,6
,,,,,Wyoming,26
,,,,,Wyoming,16
,,,,,Wyoming,21
,,,,,Wyoming,5
,,,,,Wyoming,17
,,,,,Wyoming,9
,,,,,Wyoming,4
,,,,,Wyoming,6
,,,,,Wyoming,7
,,,,,Wyoming,1
,,,,,Wyoming,5
,,,,,Wyoming,19
,,,,,Wyoming,11
,,,,,Wyoming,20
,,,,,Wyoming,7
,,,,,Wyoming,4
,,,,,Wyoming,8
,,,,,Wyoming,13
,,,,,Wyoming,8
,,,,,Wyoming,2
,,,,,Wyoming,11
,,,,,Wyoming,24
,,,,,Wyoming,20
,,,,,Colorado,8
,,,,,Colorado,3
,,,,,Colorado,14
,,,,,Colorado,9
,,,,,Colorado,19
,,,,,Colorado,10
,,,,,Colorado,26
,,,,,Colorado,18
,,,,,Colorado,1
,,,,,Colorado,14
,,,,,Colorado,13
,,,,,Colorado,25
,,,,,Colorado,3
,,,,,Colorado,2
,,,,,Colorado,32
,,,,,Colorado,11
,,,,,Colorado,21
,,,,,Colorado,6
,,,,,Colorado,10
,,,,,Colorado,5
,,,,,Colorado,16
,,,,,Colorado,11
,,,,,Colorado,11
,,,,,Colorado,12
,,,,,Colorado,20
,,,,,Colorado,42
,,,,,Colorado,32
,,,,,Colorado,18
,,,,,Colorado,37
,,,,,Colorado,26
,,,,,Colorado,26
,,,,,Colorado,58
,,,,,Colorado,32
,,,,,Colorado,41
,,,,,Colorado,26
,,,,,Colorado,21
,,,,,Colorado,40
,,,,,Colorado,48
,,,,,Colorado,22
,,,,,Colorado,57
,,,,,Colorado,76
,,,,,Colorado,82
,,,,,Colorado,6
,,,,,Colorado,35
,,,,,Colorado,45
,,,,,Colorado,98
,,,,,Colorado,47
,,,,,Colorado,38
,,,,,Colorado,41
,,,,,Colorado,60
,,,,,Colorado,46
,,,,,Colorado,25
,,,,,Colorado,30
,,,,,Colorado,84
,,,,,Colorado,34
,,,,,Colorado,21
,,,,,Colorado,57
,,,,,Colorado,40
,,,,,Colorado,46
,,,,,Colorado,71
,,,,,Colorado,21
,,,,,Colorado,34
,,,,,Colorado,27
,,,,,Colorado,50
,,,,,Colorado,57
,,,,,Colorado,39
,,,,,Colorado,19
,,,,,Colorado,45
,,,,,Colorado,49
,,,,,NewMexico,2
,,,,,NewMexico,0
,,,,,NewMexico,0
,,,,,NewMexico,8
,,,,,NewMexico,1
,,,,,NewMexico,4
,,,,,NewMexico,17
,,,,,NewMexico,7
,,,,,NewMexico,16
,,,,,NewMexico,6
,,,,,NewMexico,11
,,,,,NewMexico,12
,,,,,NewMexico,8
,,,,,NewMexico,11
,,,,,NewMexico,14
,,,,,NewMexico,16
,,,,,NewMexico,8
,,,,,NewMexico,2
,,,,,NewMexico,10
,,,,,NewMexico,11
,,,,,NewMexico,12
,,,,,NewMexico,18
,,,,,NewMexico,2
,,,,,NewMexico,6
,,,,,NewMexico,3
,,,,,NewMexico,2
,,,,,NewMexico,8
,,,,,NewMexico,3
,,,,,NewMexico,13
,,,,,NewMexico,3
,,,,,NewMexico,8
,,,,,NewMexico,7
,,,,,NewMexico,3
,,,,,NewMexico,1
,,,,,NewMexico,5
,,,,,NewMexico,2
,,,,,NewMexico,15
,,,,,NewMexico,10
,,,,,NewMexico,17
,,,,,NewMexico,16
,,,,,NewMexico,31
,,,,,NewMexico,24
,,,,,NewMexico,2
,,,,,NewMexico,13
,,,,,NewMexico,12
,,,,,NewMexico,16
,,,,,NewMexico,11
,,,,,NewMexico,7
,,,,,NewMexico,8
,,,,,NewMexico,5
,,,,,NewMexico,5
,,,,,NewMexico,3
,,,,,NewMexico,7
,,,,,NewMexico,11
,,,,,NewMexico,7
,,,,,NewMexico,5
,,,,,NewMexico,25
,,,,,NewMexico,11
,,,,,NewMexico,4
,,,,,NewMexico,12
,,,,,NewMexico,2
,,,,,NewMexico,6
,,,,,NewMexico,2
,,,,,NewMexico,14
,,,,,NewMexico,6
,,,,,NewMexico,9
,,,,,NewMexico,13
,,,,,NewMexico,11
,,,,,NewMexico,19
,,,,,Montana,3
,,,,,Montana,1
,,,,,Montana,3
,,,,,Montana,6
,,,,,Montana,4
,,,,,Wyoming,4
,,,,,Wyoming,1
,,,,,Wyoming,2
,,,,,Wyoming,21
,,,,,Wyoming,5
,,,,,Colorado,35
,,,,,Colorado,48
,,,,,Colorado,31
,,,,,Colorado,88
,,,,,Colorado,31
,,,,,NewMexico,6
,,,,,NewMexico,16
,,,,,NewMexico,2
,,,,,NewMexico,13
,,,,,NewMexico,11
